Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
3027605,2024-09-18T00:00:00Z,Missouri,Saint Louis,5000 Kensington Avenue,2,2,0,0,0
3028704,2024-09-18T00:00:00Z,Ohio,Akron,744 Colette Dr,0,4,0,0,0
3026197,2024-09-16T00:00:00Z,Illinois,Chicago,1500 W 51st Street,0,4,0,0,0
3025439,2024-09-15T00:00:00Z,Missouri,Florissant,2200 Windsor Dr,0,4,0,0,0
3024100,2024-09-14T00:00:00Z,Kentucky,Louisville,521 N 22nd Street,0,4,0,0,0
3024007,2024-09-14T00:00:00Z,Texas,Houston,4901 Laura Koppe Road,3,8,0,0,0
3026772,2024-09-14T00:00:00Z,Alabama,Selma,201 N Race Street,0,4,0,0,0
3024089,2024-09-13T00:00:00Z,Tennessee,Antioch,223 Bart Dr,3,1,0,0,0
3022787,2024-09-12T00:00:00Z,Virginia,Suffolk,822 E Washington Street,2,3,0,0,0
3017817,2024-09-07T00:00:00Z,Kentucky,East Bernstadt,I-75 and KY-909,0,5,1,0,0
3018370,2024-09-07T00:00:00Z,Florida,Opa Locka,15600 Northwest 42nd Avenue,0,5,0,0,0
3018252,2024-09-07T00:00:00Z,Pennsylvania,Ellwood City,183 Portersville Road,1,4,0,0,1
3017295,2024-09-06T00:00:00Z,District of Columbia,Washington,900 Varney Street Southeast,0,5,0,0,0
3014703,2024-09-04T00:00:00Z,Georgia,Winder,940 Haymon Morris Road,4,7,0,0,1
3013744,2024-09-02T00:00:00Z,Washington,Federal Way,I-5 and S 320th Street,0,5,0,0,1
3012631,2024-09-02T00:00:00Z,Illinois,Forest Park,711 Desplaines Avenue,4,0,0,0,1
3012888,2024-09-02T00:00:00Z,New York,Brooklyn,Eastern Pkwy and Classon Avenue,1,4,0,0,0
3013319,2024-09-02T00:00:00Z,Alabama,Bessemer,200 Fourth Avenue N,0,4,0,0,0
3020008,2024-09-02T00:00:00Z,New Jersey,Newark,500 Clinton Avenue,0,4,0,0,0
3012738,2024-09-02T00:00:00Z,Tennessee,Antioch,825 Hamilton Crossings,0,6,0,0,1
3012204,2024-09-01T00:00:00Z,Ohio,Dayton,1100 Gettysburg Avenue,0,5,0,0,0
3012525,2024-09-01T00:00:00Z,Ohio,Cleveland,14800 Lawndale Avenue,0,4,0,0,1
3012688,2024-09-01T00:00:00Z,Delaware,Milford,200 North Street,0,4,0,0,0
3015133,2024-09-01T00:00:00Z,Texas,Bullard,500 Guinn Street,3,1,0,0,0
3011930,2024-08-31T00:00:00Z,Hawaii,Waianae,85-1300 Waianae Valley Road,3,2,1,0,0
3010531,2024-08-30T00:00:00Z,Minnesota,Burnsville,12100 River Hills Dr,0,5,0,0,0
3011296,2024-08-30T00:00:00Z,Ohio,Euclid,Nicholas Avenue and E 222nd Street,1,4,0,0,1
3009463,2024-08-29T00:00:00Z,California,Tulare,Martin Luther King Jr Avenue and S Street,0,4,0,0,0
3007365,2024-08-27T00:00:00Z,Pennsylvania,Philadelphia,Allegheny Avenue and G Street,0,4,0,0,0
3005280,2024-08-25T00:00:00Z,New York,Syosset,76 Wyoming Ct,4,0,1,0,0
3005251,2024-08-25T00:00:00Z,Texas,Lubbock,9200 US-87 Frontage Road,1,5,0,0,5
3005607,2024-08-25T00:00:00Z,South Dakota,Sioux Falls,1301 S Marion Road,1,3,0,0,0
3006116,2024-08-25T00:00:00Z,Georgia,Warner Robins,308 Shirley Dr,0,4,0,0,0
3005079,2024-08-25T00:00:00Z,Alabama,Mobile,Paper Mill Road and Mckinley Street,0,6,0,0,0
3005802,2024-08-25T00:00:00Z,Pennsylvania,Allentown,112 N 7th Street,0,6,0,0,2
3005100,2024-08-24T00:00:00Z,Georgia,Dalton,1800 Pleasant Grove Dr Northeast,4,0,0,0,1
3005346,2024-08-24T00:00:00Z,Pennsylvania,Chester,Butler Street and Concord Avenue,1,3,0,0,0
3003576,2024-08-22T00:00:00Z,Texas,Houston,2266 Collier Street,0,4,0,0,1
3002869,2024-08-22T00:00:00Z,Wisconsin,Milwaukee,4001 W North Avenue,1,3,0,0,1
3002622,2024-08-21T00:00:00Z,Pennsylvania,Philadelphia,4000 Lancaster Avenue,0,4,0,0,0
3001529,2024-08-20T00:00:00Z,Mississippi,Jackson,300 Maple Street,0,6,0,0,0
3001570,2024-08-20T00:00:00Z,Washington,Everett,805 W Casino Road,0,4,0,0,0
3000990,2024-08-20T00:00:00Z,Illinois,Chicago,51st Street and Ashland Avenue,1,5,0,0,0
2998510,2024-08-18T00:00:00Z,Minnesota,Minneapolis,1200 W Broadway Avenue,0,4,0,0,0
2998845,2024-08-18T00:00:00Z,Maryland,Baltimore,1300 N Spring Street,1,7,0,0,0
2999346,2024-08-18T00:00:00Z,Oklahoma,Oklahoma City,Oklahoma Avenue and E Sheridan Avenue,0,4,0,0,0
2998743,2024-08-18T00:00:00Z,Massachusetts,Boston,1 Franklin Park Road,0,5,0,0,0
2997679,2024-08-17T00:00:00Z,Mississippi,Jackson,208 W Capitol Street,1,5,0,0,0
2997932,2024-08-17T00:00:00Z,California,Oakland,1618 83rd Avenue,2,2,0,0,1
