Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured
2983511,2024-07-30T00:00:00Z,Oregon,Klamath Falls,1300 Monclaire St,0,1,0,0
2979381,2024-07-19T00:00:00Z,Washington,Tacoma,601 S 8th St,0,0,0,0
2965629,2024-07-09T00:00:00Z,Texas,Greenville,3515 Lions Lair Rd,0,0,0,0
2939422,2024-06-13T00:00:00Z,California,Los Angeles,111 S Grand Ave,0,0,0,0
2937049,2024-06-07T00:00:00Z,California,Carson,22328 Main St,0,0,0,0
2933178,2024-06-06T00:00:00Z,Washington,Seattle,400 23rd Ave,1,0,0,0
2923298,2024-05-28T00:00:00Z,Oregon,Portland,6941 N Central St,0,0,0,0
2921380,2024-05-25T00:00:00Z,Iowa,Des Moines,2601 Forest Ave,0,0,0,0
2921138,2024-05-24T00:00:00Z,New Mexico,Anthony,6301 NM-28,1,0,0,0
2918499,2024-05-23T00:00:00Z,Louisiana,Harvey,2200 8th St,0,1,0,0
2919743,2024-05-23T00:00:00Z,California,Oakland,12250 Skyline Blvd,0,2,0,1
2917915,2024-05-22T00:00:00Z,Florida,Citra,2085 W Hwy 329,1,0,0,0
2917502,2024-05-21T00:00:00Z,California,Palermo,Ontario Ave,0,0,0,0
2914448,2024-05-19T00:00:00Z,Missouri,Cape Girardeau,1333 N Sprigg St,0,2,0,0
2906653,2024-05-11T00:00:00Z,California,Los Angeles,3751 S Harvard Blvd,0,1,0,0
2905771,2024-05-10T00:00:00Z,Texas,Houston,4410 Cook Rd,0,1,0,0
2905536,2024-05-10T00:00:00Z,Virginia,Richmond,2020 Westwood Ave,0,1,0,0
2905343,2024-05-08T00:00:00Z,Florida,Lake Worth,6300 Seminole Dr,0,0,0,1
2904093,2024-05-07T00:00:00Z,North Carolina,Winston Salem,1600 Brewer Rd,0,1,0,0
2900579,2024-05-04T00:00:00Z,South Carolina,North Charleston,1087 E Montague Ave,0,0,0,0
2899493,2024-05-03T00:00:00Z,District of Columbia,Washington,101 N St NW,0,1,0,0
2899387,2024-05-03T00:00:00Z,Maryland,Annapolis,911 Royal St,0,3,0,0
2899368,2024-05-03T00:00:00Z,Georgia,Decatur,310 N McDonough St,0,0,0,0
2896521,2024-05-01T00:00:00Z,Wisconsin,Mount Horeb,900 E Garfield St,0,0,1,0
2889123,2024-04-24T00:00:00Z,Texas,Arlington,2101 Highbank Dr,1,0,0,0
2887245,2024-04-22T00:00:00Z,Florida,Palm Beach Gardens,1717 Ave S,0,0,0,1
2887847,2024-04-22T00:00:00Z,Washington,West Richland,2820 S Highlands Blvd,2,0,1,0
2881689,2024-04-16T00:00:00Z,North Carolina,Concord,7550 Ruben Linker Rd NW,1,0,0,0
2881329,2024-04-15T00:00:00Z,Louisiana,Jennings,2310 N Sherman St,0,0,0,0
2877775,2024-04-12T00:00:00Z,Texas,Dallas,5520 Langdon Rd,0,1,0,0
2869592,2024-04-02T00:00:00Z,Massachusetts,Cambridge,459 Broadway Ct,0,0,0,0
2863281,2024-03-26T00:00:00Z,Missouri,Charleston,606 S Thorn St,0,0,0,0
2852763,2024-03-13T00:00:00Z,Washington,Seattle,E Jefferson St and 23rd Ave,0,1,0,0
2850638,2024-03-11T00:00:00Z,Massachusetts,Springfield,1250 State St,0,0,0,0
2845888,2024-03-05T00:00:00Z,Indiana,Indianapolis,7510 E 53rd St,0,1,0,0
2843300,2024-03-02T00:00:00Z,Indiana,Rochester,1645 S Park Rd,0,0,0,0
2843527,2024-03-02T00:00:00Z,Missouri,Kansas City,620 E 23rd Ave,0,2,0,0
2842890,2024-03-01T00:00:00Z,Louisiana,Carencro,200 block of Bradford Dr,1,0,0,0
2842712,2024-02-29T00:00:00Z,Florida,Jacksonville,590 Duval Station Rd,0,0,0,0
2840561,2024-02-27T00:00:00Z,Delaware,Georgetown,26026 Patriots Way,0,0,0,0
2838533,2024-02-26T00:00:00Z,Texas,Odessa,1301 Dotsy Ave,0,1,0,0
2836786,2024-02-23T00:00:00Z,West Virginia,Bluefield,2915 Old Bramwell Rd,0,1,0,0
2835770,2024-02-21T00:00:00Z,Texas,Edinburg,1414 N Alamo Rd,0,0,0,0
2834943,2024-02-20T00:00:00Z,Michigan,Saginaw,3100 Webber St,0,0,0,0
2833248,2024-02-19T00:00:00Z,Texas,Mesquite,3200 Oates Dr,0,0,0,1
2828898,2024-02-14T00:00:00Z,Georgia,Atlanta,3450 Benjamin E Mays Dr SW,0,4,0,0
2825090,2024-02-09T00:00:00Z,Georgia,Atlanta,2575 Harris St,1,0,0,0
2823618,2024-02-07T00:00:00Z,Oregon,Eugene,1125 Willagillespie Rd,0,0,0,0
2820511,2024-02-05T00:00:00Z,Georgia,Augusta,1339 Laney Walker Blvd,0,0,0,0
2816899,2024-02-01T00:00:00Z,Georgia,Powder Springs,2400 New MacLand Rd SW,0,2,0,0
